epoch,train_loss,val_loss
1,7.4595356008151,6.00971269428979
2,6.003817223469022,5.887653426102083
3,5.914405963947425,5.823492262731896
4,5.872275382145148,5.8133310861654826
5,5.85126887595687,5.779321209491201
6,5.83009107380541,5.765380898453258
7,5.808100798273049,5.74362442545978
8,5.787966417770128,5.7303157270976275
9,5.767223857035774,5.708390542826597
10,5.744312077058935,5.696082881423113
1,7.4595356008151,6.00971269428979
2,6.003817223469022,5.887653426102083
3,5.914405963947425,5.823492262731896
4,5.872275382145148,5.8133310861654826
5,5.85126887595687,5.779321209491201
6,5.83009107380541,5.765380898453258
7,5.808100798273049,5.74362442545978
8,5.787966417770128,5.7303157270976275
9,5.767223857035774,5.708390542826597
10,5.744312077058935,5.696082881423113
1,7.122096698337021,6.00444989219447
2,5.699639557505209,5.529800960921708
3,5.424176950839853,5.352962066599037
4,5.282020923723408,5.238879267306451
5,5.18031165841234,5.1532226745060425
6,5.103894290761581,5.090236980205776
7,5.043910822260866,5.035916961809718
8,4.98928113486682,4.993821342061277
9,4.944286950877888,4.950530548186875
10,4.90320137504205,4.898310872840404
