epoch,train_loss,val_loss
1,2.838849245349936,2.7970381855623088
2,2.774390710961759,2.721547903509058
3,2.6881550803897887,2.625887387119938
4,2.5758963981183323,2.508729326007701
5,2.4631492917505264,2.4469665961825746
6,2.390042344074891,2.3947286325744366
7,2.337643371280296,2.3753073331619743
8,2.312869886713704,2.363935103730691
9,2.3055009819732537,2.363490683301472
10,2.3005230600866318,2.355943127143007
11,2.295879999398332,2.3522664592054308
12,2.2943836845665553,2.3484441578217425
13,2.2916930006842318,2.3466210133025163
14,2.2912773963119957,2.3644864818769746
15,2.295220586173263,2.354920696050868
16,2.2906343938626814,2.342305228498399
17,2.2936850029311184,2.3425548233753632
18,2.287757452164024,2.341773690330265
19,2.2846965171988725,2.3434462916202055
20,2.2870411936009707,2.3466991811222195
21,2.2865502539070146,2.351834810224167
22,2.2864615017802867,2.338233594566498
23,2.2863108946241133,2.343926122332029
24,2.284306669371761,2.337322237156865
25,2.2842722643932105,2.337675078892093
26,2.2828119604947656,2.3365478946008107
27,2.2851456237334222,2.3390028968581498
28,2.283622874817681,2.3430465019193285
29,2.283873032738502,2.3371309646562723
30,2.282720900298701,2.3355160695433956
