epoch,train_loss,val_loss
1,23.179816117540504,18.2920065066457
2,17.746118953195342,17.297156987524666
3,16.72215160429525,16.240033139045387
4,15.73684543410608,15.419486760124746
5,15.082436062872866,14.868006214638008
6,14.649948022849594,14.504831081844536
7,14.32425741974293,14.218366274905556
8,14.047377180315586,14.026167667453304
9,13.81871374588913,13.757816327264866
10,13.611613680100154,13.552761182209162
11,13.431417032283095,13.383613249596861
12,13.272820571577313,13.23173145172301
13,13.141485231578018,13.114976096856958
14,13.02418092753097,13.02476809732599
15,12.931364023984306,12.934015333356598
16,12.85669979490813,12.911466948423739
17,12.794587033377644,12.837541594145067
18,12.745498157740258,12.764965578584166
19,12.702552852006123,12.747606546980604
20,12.662076917643539,12.704907630085783
21,12.638628480978696,12.668978582382719
22,12.616575899345149,12.637429939171545
23,12.584584404103772,12.625619911977514
24,12.563739178394114,12.614128307590782
25,12.540529346042133,12.578308635546053
26,12.522428721160582,12.56500782653715
27,12.509049608853921,12.550486924104048
28,12.487824820292905,12.532472810522293
29,12.473179897660664,12.511758886699331
30,12.462184603658585,12.5359770913171
